,locations,service_center,business_status,address,rating,price_level,review_count
81,PA Carlisle,1,OPERATIONAL,"1220 Newville Rd, Carlisle, PA 17013, United States",3.6,,9
82,PA Harrisburg,1,OPERATIONAL,"7800 Linglestown Rd, Harrisburg, PA 17112, United States",3.7,,3
83,PA Throop,,OPERATIONAL,"651 Keystone Industrial Park Rd, Throop, PA 18512, United States",4.6,2,41
84,PA York,1,OPERATIONAL,"2150 S Queen St, York, PA 17402, United States",5,,8
85,SC Columbia,,OPERATIONAL,"1631 Shop Rd, Columbia, SC 29201, United States",4.7,2,52
86,SC N. Charleston,,OPERATIONAL,"5130 Rivers Ave, North Charleston, SC 29406, United States",4.4,2,79
87,SD Sioux Falls,1,OPERATIONAL,"3910 E Wilcox St, Sioux Falls, SD 57104, United States",4.7,2,27
88,TN Chattanooga,1,OPERATIONAL,"2000 E 24th St Pl, Chattanooga, TN 37407, United States",4.8,2,41
89,TN Kingsport,,OPERATIONAL,"2705 E Stone Dr, Kingsport, TN 37660, United States",4.4,2,26
90,TN Memphis,,OPERATIONAL,"3259 Millbranch Rd, Memphis, TN 38116, United States",4.3,2,42
91,TN Nashville,,OPERATIONAL,"835 Fesslers Pkwy, Nashville, TN 37210, United States",4.6,2,43
92,TX Alice,1,OPERATIONAL,"1903 S U.S. Hwy 281, Alice, TX 78332, United States",5,2,19
93,TX Corpus Christi,1,OPERATIONAL,"7749, # Ih-37, Corpus Christi, TX 78409, United States",4,2,72
94,TX Dallas,,OPERATIONAL,"3942 Irving Blvd, Dallas, TX 75247, United States",4.1,2,46
95,TX El Paso,,OPERATIONAL,"11500 Rojas Dr Suite F, El Paso, TX 79936, United States",4.7,2,29
96,TX Houston,,OPERATIONAL,"9133 Wallisville Rd, Houston, TX 77029, United States",4.5,2,61
97,TX Kilgore,,OPERATIONAL,"502 TX-135, Kilgore, TX 75662, United States",4.4,2,63
98,TX Longview,1,OPERATIONAL,"185 Kyle-Wilson Rd, Longview, TX 75602",,,0
99,TX Seminole,1,OPERATIONAL,"911 S Main St, Seminole, TX 79360, United States",5,,8
100,VA Richmond,,OPERATIONAL,"1402 Commerce Rd, Richmond, VA 23224, United States",4.6,2,69
101,VA Roanoke,,OPERATIONAL,"826 Shenandoah Ave NW, Roanoke, VA 24016, United States",4.8,2,38
102,VT Swanton,1,OPERATIONAL,"721 VT-78, Swanton, VT 05488, United States",4.4,2,5
103,VT Williston,1,OPERATIONAL,"60 Krupp Dr, Williston, VT 05495, United States",4.4,2,34
104,WI Eau Claire,1,OPERATIONAL,"3340 Hogarth St, Eau Claire, WI 54703, United States",4.6,2,26
105,WI Fond Du Lac,1,OPERATIONAL,"385 N Pioneer Rd, Fond du Lac, WI 54937, United States",3.7,2,20
106,WI Green Bay,1,OPERATIONAL,"1790 Velp Ave, Green Bay, WI 54303, United States",4.6,2,22
107,WI Stevens Point,1,OPERATIONAL,"5201 Heffron Ct Bldg B, Stevens Point, WI 54481, United States",4.7,2,26
108,WV Beckley,,OPERATIONAL,"490 Ragland Rd, Beckley, WV 25801, United States",4.9,2,8
109,WV Clarksburg,1,OPERATIONAL,"60 Columbia Blvd, Clarksburg, WV 26301, United States",4.3,2,36
110,WV S. Charleston,1,OPERATIONAL,"3204 MacCorkle Ave SW, South Charleston, WV 25303, United States",4.4,2,23
